# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Uelm_Ex
# 18 Uelm_Ey
# 19 Uelm_Ez
# 20 Uelm_Bx_m
# 21 Uelm_By_m
# 22 Uelm_Bz_m
# 23 ExMin
# 24 ExMinCell
# 25 ExMax
# 26 ExMaxCell
# 27 EyMin
# 28 EyMinCell
# 29 EyMax
# 30 EyMaxCell
# 31 EzMin
# 32 EzMinCell
# 33 EzMax
# 34 EzMaxCell
# 35 Bx_mMin
# 36 Bx_mMinCell
# 37 Bx_mMax
# 38 Bx_mMaxCell
# 39 By_mMin
# 40 By_mMinCell
# 41 By_mMax
# 42 By_mMaxCell
# 43 Bz_mMin
# 44 Bz_mMinCell
# 45 Bz_mMax
# 46 Bz_mMaxCell
# 47 JxMin
# 48 JxMinCell
# 49 JxMax
# 50 JxMaxCell
# 51 JyMin
# 52 JyMinCell
# 53 JyMax
# 54 JyMaxCell
# 55 JzMin
# 56 JzMinCell
# 57 JzMax
# 58 JzMaxCell
# 59 RhoMin
# 60 RhoMinCell
# 61 RhoMax
# 62 RhoMaxCell
# 63 PoyXmin
# 64 PoyXminInst
# 65 PoyXmax
# 66 PoyXmaxInst
#
#               time           Ubal_norm                Ubal                Utot                Uexp                Ukin                Urad           UmBWpairs                Uelm            Ukin_bnd        Ukin_out_mvw        Ukin_inj_mvw            Ukin_new            Uelm_bnd        Uelm_out_mvw        Uelm_inj_mvw             Uelm_Ex             Uelm_Ey             Uelm_Ez           Uelm_Bx_m           Uelm_By_m           Uelm_Bz_m               ExMin           ExMinCell               ExMax           ExMaxCell               EyMin           EyMinCell               EyMax           EyMaxCell               EzMin           EzMinCell               EzMax           EzMaxCell             Bx_mMin         Bx_mMinCell             Bx_mMax         Bx_mMaxCell             By_mMin         By_mMinCell             By_mMax         By_mMaxCell             Bz_mMin         Bz_mMinCell             Bz_mMax         Bz_mMaxCell               JxMin           JxMinCell               JxMax           JxMaxCell               JyMin           JyMinCell               JyMax           JyMaxCell               JzMin           JzMinCell               JzMax           JzMaxCell              RhoMin          RhoMinCell              RhoMax          RhoMaxCell             PoyXmin         PoyXminInst             PoyXmax         PoyXmaxInst
    3.0799927976e+00    2.3519742231e-01   1.2552448705e-145   5.3369839609e-145   4.0817390904e-145    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   5.3369839609e-145    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   4.0817390904e-145    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.9363821512e-145    0.0000000000e+00   3.4006018097e-145    0.0000000000e+00    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0   -1.9799300191e-72                   0    0.0000000000e+00                  47    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                 525    2.6215689136e-72                   0    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525   4.0817390904e-145   2.5659805282e-145    0.0000000000e+00    0.0000000000e+00
    3.3879920774e+00    2.3053763634e-01   1.6203713134e-143   7.0286628211e-143   5.4082915077e-143    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.0286628211e-143    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   5.4082915077e-143    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.5718161896e-143    0.0000000000e+00   4.4568466315e-143    0.0000000000e+00    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225   -2.2670690265e-71                   0    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    2.9821504420e-71                   0    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225   5.4082915077e-143   3.3558347835e-143    0.0000000000e+00    0.0000000000e+00
    3.6959913572e+00    2.2647206949e-01   1.8991075121e-141   8.3856146870e-141   6.4865071749e-141    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   8.3856146870e-141    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   6.4865071749e-141    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.0908222970e-141    0.0000000000e+00   5.2947923900e-141    0.0000000000e+00    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375   -2.4709454467e-70                   0    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    3.2318688235e-70                   0    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375   6.4865071749e-141   3.9780427732e-141    0.0000000000e+00    0.0000000000e+00
    4.0039906369e+00    2.2285986968e-01   2.0441593979e-139   9.1723978873e-139   7.1282384895e-139    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   9.1723978873e-139    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.1282384895e-139    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.4026349938e-139    0.0000000000e+00   5.7697628935e-139    0.0000000000e+00    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450   -2.5789397388e-69                   0    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    3.3561460137e-69                   0    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225   7.1282384895e-139   4.3252789868e-139    0.0000000000e+00    0.0000000000e+00
    4.3119899167e+00    2.1960133878e-01   2.0387245060e-137   9.2837526280e-137   7.2450281220e-137    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   9.2837526280e-137    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.2450281220e-137    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.4638241317e-137    0.0000000000e+00   5.8199284963e-137    0.0000000000e+00    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375   -2.5893891095e-68                   0    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 375    3.3544912331e-68                   0    0.0000000000e+00                 375    0.0000000000e+00                 375    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525   7.2450281220e-137   4.3531645510e-137    0.0000000000e+00    0.0000000000e+00
    4.6199891965e+00    2.1662393541e-01   1.8972118471e-135   8.7580896521e-135   6.8608778050e-135    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   8.7580896521e-135    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   6.8608778050e-135    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.2848016586e-135    0.0000000000e+00   5.4732879935e-135    0.0000000000e+00    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525   -2.5101680720e-67                   0    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 525    0.0000000000e+00                 300    3.2384485846e-67                   0    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 300    0.0000000000e+00                 450    0.0000000000e+00                 450   6.8608778050e-135   4.0847543961e-135    0.0000000000e+00    0.0000000000e+00
    4.9279884762e+00    2.1387362340e-01   1.6566177193e-133   7.7457785255e-133   6.0891608062e-133    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   7.7457785255e-133    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   6.0891608062e-133    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.9190750317e-133    0.0000000000e+00   4.8267034938e-133    0.0000000000e+00    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450    0.0000000000e+00                 450   -2.3562178362e-66                   0    0.0000000000e+00                 450    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    3.0282794568e-66                   0    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225   6.0891608062e-133   3.5941682575e-133    0.0000000000e+00    0.0000000000e+00
    5.2359877560e+00    2.1130932759e-01   1.3635229927e-131   6.4527345208e-131   5.0892115281e-131    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   6.4527345208e-131    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   5.0892115281e-131    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   2.4425949398e-131    0.0000000000e+00   4.0101395810e-131    0.0000000000e+00    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75   -2.1466327772e-65                   0    0.0000000000e+00                  81    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  82    2.7491628121e-65                   0    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75   5.0892115281e-131   2.9794566004e-131    0.0000000000e+00    0.0000000000e+00
    5.5439870357e+00    2.0889926904e-01   1.0618779227e-129   5.0832055449e-129   4.0213276222e-129    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   5.0832055449e-129    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   4.0213276222e-129    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.9321733330e-129    0.0000000000e+00   3.1510322118e-129    0.0000000000e+00    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75   -1.9018324526e-64                   0    0.0000000000e+00                  86    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  87    2.4275786817e-64                   0    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                  75    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225    0.0000000000e+00                 225   4.0213276222e-129   2.3359252464e-129    0.0000000000e+00    0.0000000000e+00
    5.8519863155e+00    2.0661847644e-01   7.8492259849e-128   3.7988983948e-127   3.0139757963e-127    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.7988983948e-127    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   3.0139757963e-127    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00   1.4496415433e-127    0.0000000000e+00   2.3492568515e-127    0.0000000000e+00    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150   -1.6411993158e-63                   0    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                 150    2.0883411477e-63                   0    0.0000000000e+00                 150    0.0000000000e+00                 150    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0    0.0000000000e+00                   0   3.0139757963e-127   1.7376512131e-127    0.0000000000e+00    0.0000000000e+00
